countline_id,valid_days_2022,valid_days_2024,first_valid_date,last_valid_date,countline_name,route_type,local_authority,lsoa21nm,hardware_name,eligible_2022_2024
16379,42,359,2022-11-15,2024-12-31,S20_commercialRd_path_LHS_mt001,Path/cycle facility,Liverpool,Liverpool 022D,Commercial Rd near Boundary St,TRUE
16380,42,359,2022-11-15,2024-12-31,S20_commercialRd_road_mt001,Road,Liverpool,Liverpool 022D,Commercial Rd near Boundary St,TRUE
16386,47,365,2022-11-15,2024-12-31,S19_westernAve_path_LHS_mt001,Path/cycle facility,Liverpool,Liverpool 059F,Western Ave near of Bray Rd,TRUE
16387,47,365,2022-11-15,2024-12-31,S19_westernAve_cycles_south_mt001,Path/cycle facility,Liverpool,Liverpool 059F,Western Ave near of Bray Rd,TRUE
16388,47,365,2022-11-15,2024-12-31,S16_ParadiseSt_cycle_southBound_mt001,Path/cycle facility,Liverpool,Liverpool 061C,Liver St near Park Ln,TRUE
16389,47,365,2022-11-15,2024-12-31,S16_ParadiseSt_path_RHS_mt001,Path/cycle facility,Liverpool,Liverpool 061C,Liver St near Park Ln,TRUE
16395,47,344,2022-11-15,2024-12-31,S18_stMarysRd_path_LHS_mt001,Path/cycle facility,Liverpool,Liverpool 057D,Saint Mary's Rd near Sidwell St,TRUE
16402,47,361,2022-11-15,2024-12-31,S20_commercialRd_cycle_path_mt001,Path/cycle facility,Liverpool,Liverpool 022D,Commercial Rd near Boundary St,TRUE
16403,47,361,2022-11-15,2024-12-31,S20_commercialRd_path_RHS_mt001,Path/cycle facility,Liverpool,Liverpool 022D,Commercial Rd near Boundary St,TRUE
22867,47,365,2022-11-15,2024-12-31,S32_wooltonRd_pathLHS_mt001,Path/cycle facility,Liverpool,Liverpool 047C,Woolton Rd near Hope Park,TRUE
22868,47,365,2022-11-15,2024-12-31,S32_wooltonRd_mt001,Other / crossing,Liverpool,Liverpool 047D,Woolton Rd near Hope Park,TRUE
22869,47,365,2022-11-15,2024-12-31,S32_wooltonRd_pathRHS_mt001,Path/cycle facility,Liverpool,Liverpool 047D,Woolton Rd near Hope Park,TRUE
22872,47,364,2022-11-15,2024-12-31,S29_londonRd_pathLHS_mt001,Path/cycle facility,Liverpool,Liverpool 023B,Breck Rd near Spindle Close,TRUE
22873,47,364,2022-11-15,2024-12-31,S29_londonRd_mt001,Other / crossing,Liverpool,Liverpool 023B,Breck Rd near Spindle Close,TRUE
22874,47,364,2022-11-15,2024-12-31,S29_londonRd_pathRHS_mt001,Path/cycle facility,Liverpool,Liverpool 023B,Breck Rd near Spindle Close,TRUE
22876,47,365,2022-11-15,2024-12-31,S33_upperParliamentSt_cycleLn_mt001,Path/cycle facility,Liverpool,Liverpool 035G,Upper Parliament St near Tunnel Rd,TRUE
22877,47,364,2022-11-15,2024-12-31,S42_PrinceAlfredRd_Path_LHS_mt001,Path/cycle facility,Liverpool,Liverpool 042C,Prince Alfred Rd near Fir Ln,TRUE
22878,47,364,2022-11-15,2024-12-31,S42_PrinceAlfredRd_Road_mt001,Road,Liverpool,Liverpool 042C,Prince Alfred Rd near Fir Ln,TRUE
22879,47,364,2022-11-15,2024-12-31,S42_PrinceAlfredRd_Path_RHS_mt001,Path/cycle facility,Liverpool,Liverpool 042C,Prince Alfred Rd near Fir Ln,TRUE
22880,45,325,2022-11-16,2024-12-31,S34_LeeceSt_road_mt001,Road,Liverpool,Liverpool 060G,"Leece St - Eastbound, near Roscoe St",TRUE
22881,45,325,2022-11-16,2024-12-31,S34_LeeceSt_pathRHS_mt001,Path/cycle facility,Liverpool,Liverpool 060G,"Leece St - Eastbound, near Roscoe St",TRUE
22887,44,359,2022-11-15,2024-12-31,S43_LeeceSt_Road_Eastbound_mt001,Road,Liverpool,Liverpool 060G,Leece St near Roscoe St,TRUE
22888,44,359,2022-11-15,2024-12-31,S43_LeeceSt_Path_Eastbound_mt001,Path/cycle facility,Liverpool,Liverpool 060G,Leece St near Roscoe St,TRUE
22889,47,197,2022-11-15,2024-07-15,S41_UttingAveE_Road_mt001,Road,Liverpool,Liverpool 011C,Utting Ave East near Parthenon Dr,TRUE
22890,45,197,2022-11-16,2024-07-15,S46_PrescotRd_Road_Westbound_mt001,Road,Liverpool,Liverpool 027A,Prescot Rd near Barrymore Rd,TRUE
22891,45,197,2022-11-16,2024-07-15,S46_PrescotRd_Path_Westbound_mt001,Path/cycle facility,Liverpool,Liverpool 027A,Prescot Rd near Barrymore Rd,TRUE
22892,47,195,2022-11-15,2024-07-15,S47_PrescotRd_Road_Eastbound_mt001,Road,Liverpool,Liverpool 027A,Prescot Rd near Dunmore Rd,TRUE
22893,47,195,2022-11-15,2024-07-15,S47_PrescotRd_Path_Eastbound_mt001,Path/cycle facility,Liverpool,Liverpool 027A,Prescot Rd near Dunmore Rd,TRUE
23038,47,365,2022-11-15,2024-12-31,S33_upperParliamentSt_LHS_mt001,Other / crossing,Liverpool,Liverpool 035G,Upper Parliament St near Tunnel Rd,TRUE
23039,47,365,2022-11-15,2024-12-31,S33_upperParliamentSt_RHS_mt001,Other / crossing,Liverpool,Liverpool 035G,Upper Parliament St near Tunnel Rd,TRUE
23780,39,365,2022-11-15,2024-12-31,s31_FirLane_road_mt001,Road,Liverpool,Liverpool 042C,Fir Ln near Prince Alfred Rd,TRUE
23781,39,365,2022-11-15,2024-12-31,s31_FirLane_path_mt001,Path/cycle facility,Liverpool,Liverpool 042C,Fir Ln near Prince Alfred Rd,TRUE
23795,46,361,2022-11-15,2024-12-31,s28_UttingAvenue_road_mt001,Road,Liverpool,Liverpool 010G,Utting Ave East near Lorenzo Dr,TRUE
